Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
638cfd8a5c37419a9e1b79d7,5e9133f704391d46ee2bcb31,APPROVED,2022-12-04T20:05:30.814000Z,2022-12-04T20:16:36.424000Z,2022-12-04T21:15:59.685000,2022-12-04T20:16:36.885049Z,666,C1GK0VPE,327,"Spanish, English",25,Male,Mixed,Chile,Chile,Chile,Spanish,Yes,Other
638cfd8a6e372da3677c0e02,609afebf102990ae898d48f1,APPROVED,2022-12-04T20:05:35.141000Z,2022-12-04T20:17:48.560000Z,2022-12-04T21:16:07.963000,2022-12-04T20:17:48.957720Z,734,C1GK0VPE,122,English,31,Female,White,Canada,Canada,Canada,English,No,Part-Time
638cfd8ab98b2a323388a1c9,5eaf421a2627076426921b2a,APPROVED,2022-12-04T20:05:30.580000Z,2022-12-04T20:19:20.227000Z,2022-12-04T21:15:59.804000,2022-12-04T20:19:20.658763Z,830,C1GK0VPE,380,"Polish, English",24,Male,White,Poland,Poland,Poland,Polish,No,Unemployed (and job seeking)
638cfd8b06fc727b74e2f02c,5f70b6d420717c6a6dcf0773,APPROVED,2022-12-04T20:05:48.401000Z,2022-12-04T20:21:29.537000Z,2022-12-04T21:15:59.927000,2022-12-04T20:21:29.913639Z,942,C1GK0VPE,160,"English, Polish, German",26,Male,White,Poland,Poland,Poland,English,Yes,Full-Time
638cfd8b072706d7717c0e46,5bad60642259980001c84ccf,APPROVED,2022-12-04T20:05:31.970000Z,2022-12-04T20:13:29.833000Z,2022-12-04T21:16:00.054000,2022-12-04T20:13:30.253643Z,478,C1GK0VPE,663,"English, French, Arabic",29,Male,White,Tunisia,Germany,Tunisia,Arabic,DATA_EXPIRED,DATA_EXPIRED
638cfd8b2d2bb7e9a2987596,5e1be631fe04c0402ce45da0,APPROVED,2022-12-04T20:05:31.394000Z,2022-12-04T20:19:59.147000Z,2022-12-04T21:16:00.182000,2022-12-04T20:19:59.532124Z,868,C1GK0VPE,238,English,57,Male,White,Italy,Canada,Canada,English,No,Part-Time
638cfd8b66518c4f4aef51fd,60bb1f9a184534f0a6373437,APPROVED,2022-12-04T20:05:35.398000Z,2022-12-04T20:13:31.781000Z,2022-12-04T21:16:08.099000,2022-12-04T20:13:32.205765Z,477,C1GK0VPE,206,"Italian, Japanese, English",26,Female,White,Italy,Italy,Italy,Italian,No,Full-Time
638cfd8b92771f52f70585e2,5fd77c4c90c6f7094ff03bb6,APPROVED,2022-12-04T20:05:34.169000Z,2022-12-04T20:29:07.724000Z,2022-12-04T21:16:08.225000,2022-12-04T20:29:08.081841Z,1414,C1GK0VPE,63,"Portuguese, Spanish, English",22,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Part-Time
638cfd8baf6fcd1b2f9a5aa6,5f4fb87aaa1c4e0a71d7f265,APPROVED,2022-12-04T20:05:31.140000Z,2022-12-04T20:16:15.997000Z,2022-12-04T21:16:00.301000,2022-12-04T20:16:16.432647Z,645,C1GK0VPE,240,"English, Polish",20,Male,White,Poland,Poland,Poland,Polish,Yes,Full-Time
638cfd8bb928363215889c1f,5f7b37b9de9c78096b1a0ab1,APPROVED,2022-12-04T20:05:31.970000Z,2022-12-04T20:14:51.626000Z,2022-12-04T21:16:08.344000,2022-12-04T20:14:51.969367Z,560,C1GK0VPE,738,"English, German, Polish, Russian",25,Female,White,United States,Poland,United States,Polish,Yes,Unemployed (and job seeking)
